模块,类,函数名
compile,model,getUnexecutedList
compile,model,syncCompile
compile,model,syncGitlabBuildList
compile,model,syncJenkinsBuildList
cron,model,changeStatus
cron,model,checkChange
cron,model,logCron
cron,model,parseCron
custom,model,buildMenuItem
custom,model,buildMenuItems
custom,model,disableFeaturesByMode
custom,model,getMainMenu
custom,model,getModuleMenu
custom,model,getRequiredFields
custom,model,getURSRList
custom,model,hasProductURData
custom,model,hasWaterfallData
custom,model,hasWaterfallplusData
custom,model,setMenuByConfig
datatable,model,sortCols
dataview,model,checkUniColumn
dataview,model,genTreeOptions
dataview,model,getAliasNames
dataview,model,getModuleNames
dataview,model,getTypeOptions
dataview,model,includeTable
dataview,model,isClickable
dataview,model,replace4Workflow
dept,model,createGroupManageMemberLink
dept,model,createManageProjectAdminLink
dept,model,createMemberLink
dept,model,getByID
dept,model,getChildDepts
dept,model,getDeptPairs
dept,model,updateOrder
dev,model,getAPIs
dev,model,getFields
dev,model,getLinkParams
dev,model,getLinkTitle
dev,model,getMenuObject
dev,model,getModules
dev,model,getSecondMenus
dev,model,getTables
dev,model,getTagMenus
dev,model,loadDefaultLang
dev,model,setField
dev,model,sortMenus
dev,model,trimSpace
editor,model,addLink4Dir
editor,model,addLink4File
editor,model,analysis
editor,model,extendControl
editor,model,extendModel
editor,model,getAPILink
editor,model,getClassNameByPath
editor,model,getExtendLink
editor,model,getExtensionFiles
editor,model,getMethodCode
editor,model,getModuleFiles
editor,model,getParam
editor,model,getSavePath
editor,model,getTwoGradeFiles
editor,model,newControl
editor,model,printTree
editor,model,save
entry,model,getById
entry,model,getByKey
entry,model,getLogs
entry,model,isClickable
entry,model,saveLog
entry,model,updateCalledTime
execution,model,buildTree
execution,model,changeStatus2Doing
execution,model,changeStatus2Inactive
execution,model,changeStatus2Wait
execution,model,computeBurn
execution,model,createDefaultSprint
execution,model,fetchExecutionsByProjectIdList
execution,model,fixOrder
execution,model,getBurnData
execution,model,getByID
execution,model,getDefaultManagers
execution,model,getExecutionCounts
execution,model,getFullNameList
execution,model,getKanbanColorList
execution,model,getKanbanColumns
execution,model,getKanbanGroupData
execution,model,getKanbanSetting
execution,model,getKanbanStatusList
execution,model,getKanbanStatusMap
execution,model,getLimitedExecution
execution,model,getPrevKanban
execution,model,getTotalEstimate
execution,model,getTree
execution,model,linkStories
execution,model,setProjectSession
execution,model,setTreePath
execution,model,statRelatedData
execution,model,summary
execution,model,updateCFDData
extension,model,checkIncompatible
extension,model,checkVersion
extension,model,erasePackage
extension,model,executeDB
extension,model,getExpireDate
extension,model,getExpiringPlugins
extension,model,getFilesFromPackage
extension,model,getPackageFile
extension,model,getPathsFromPackage
extension,model,removePackage
extension,model,saveExtension
extension,model,updateExtension
file,model,autoDelete
file,model,fileExists
file,model,fileMTime
file,model,fileSize
file,model,getCount
file,model,getPathOfImportedFile
file,model,saveAsTempFile
file,model,sendDownHeader
file,model,setFileWebAndRealPaths
file,model,setPathName
file,model,setSavePath
file,model,setWebPath
file,model,unlinkFile
gitea,model,parseApiError
gitlab,model,apiCreateHook
gitlab,model,apiCreateLabel
gitlab,model,apiCreatePipeline
gitlab,model,apiDeleteBranchPriv
gitlab,model,apiDeleteGroup
gitlab,model,apiDeleteLabel
gitlab,model,apiDeleteTagPriv
gitlab,model,apiErrorHandling
gitlab,model,apiGet
gitlab,model,apiGetByGraphql
gitlab,model,apiGetJobLog
gitlab,model,apiGetJobs
gitlab,model,apiGetMergeRequests
gitlab,model,apiGetNamespaces
gitlab,model,apiGetPipeline
gitlab,model,apiGetProjectMembers
gitlab,model,apiGetSingleBranch
gitlab,model,apiGetSingleGroup
gitlab,model,apiGetSingleIssue
gitlab,model,apiGetSingleJob
gitlab,model,apiGetSinglePipeline
gitlab,model,apiGetSingleTag
gitlab,model,apiGetSingleUser
gitlab,model,apiUpdateGroup
gitlab,model,apiUpdateGroupMember
gitlab,model,apiUpdateProject
gitlab,model,apiUpdateProjectMember
gitlab,model,createGroup
gitlab,model,createProject
gitlab,model,createUser
gitlab,model,createZentaoObjectLabel
gitlab,model,deleteIssue
gitlab,model,editGroup
gitlab,model,editProject
gitlab,model,getBranches
gitlab,model,getByID
gitlab,model,getCommits
gitlab,model,getIssueListByObjects
gitlab,model,getList
gitlab,model,getPairs
gitlab,model,getProjectName
gitlab,model,getRelationByObject
gitlab,model,getVersion
gitlab,model,isWebhookExists
gitlab,model,manageBranchPrivs
gitlab,model,manageTagPrivs
gitlab,model,saveImportedIssue
gitlab,model,setProject
gitlab,model,webhookCheckToken
git,model,convertLog
git,model,getRepos
git,model,getRepoTags
git,model,printLog
git,model,run
git,model,setClient
git,model,setRepo
git,model,setRepoRoot
git,model,setRepos
git,model,updateCommit
gogs,model,apiGetBranches
gogs,model,apiGetProjects
gogs,model,apiGetSingleProject
gogs,model,getApiRoot
group,model,getAllGroupMembers
group,model,getGroupAccounts
group,model,getObjectForAdminGroup
group,model,getPrivs
group,model,getPrivsAfterVersion
group,model,getPrivsByGroup
group,model,getProductsForAdminGroup
group,model,getUserPairs
group,model,insertPrivs
group,model,loadResourceLang
group,model,remove
group,model,sortResource
group,model,updatePrivByModule
holiday,model,getHolidayByAPI
holiday,model,getYearPairs
holiday,model,isHoliday
holiday,model,isWorkingDay
instance,model,autoBackup
instance,model,countOldDomain
instance,model,dbListToOptions
instance,model,domainExists
instance,model,filterMemOptions
instance,model,fullDomain
instance,model,getByUrl
instance,model,printCpuUsage
instance,model,printStorageUsage
instance,model,randThirdDomain
instance,model,updateDomain
instance,model,updateMemorySize
instance,model,updateStatus
jenkins,model,getDepthJobs
job,model,checkParameterizedBuild
job,model,getByID
job,model,getJobBySonarqubeProject
job,model,getListByRepoID
job,model,getListByTriggerType
job,model,getPairs
job,model,getSonarqubeByRepo
job,model,getTriggerConfig
job,model,getTriggerGroup
job,model,import
job,model,updateLastTag
kanban,model,addSpaceMembers
kanban,model,checkChildColumn
kanban,model,copyColumns
kanban,model,getGroupList
kanban,model,getPageToolBar
kanban,model,getPairs
kanban,model,getRDRegionActions
kanban,model,getRegionActions
kanban,model,getToAndCcList
kanban,model,importObject
kanban,model,removeKanbanCell
kanban,model,updateRegion
mail,model,addQueue
mail,model,convertCharset
mail,model,getConfigByDetectingSMTP
mail,model,getConfigByMXRR
mail,model,getConfigFromProvider
mail,model,getError
mail,model,getQueueById
mail,model,isClickable
mail,model,isError
mail,model,mailExist
mail,model,send
mail,model,sendmail
mail,model,setBody
mail,model,setCC
mail,model,setMTA
mail,model,setSMTP
mail,model,setSubject
mail,model,setTO
message,model,batchSaveTodoNotice
message,model,deleteExpired
message,model,getMessages
message,model,getNoticeTodos
message,model,getUnreadCount
metric,model,buildOperateMenu
metric,model,deduplication
metric,model,getBaseCalcPath
metric,model,getByCode
metric,model,getByID
metric,model,getCalcRoot
metric,model,getChartTypeList
metric,model,getControlOptions
metric,model,getDatasetPath
metric,model,getEchartXY
metric,model,getListByCollect
metric,model,getScopePairs
metric,model,isDateMetric
metric,model,isHeaderGroup
metric,model,isObjectMetric
metric,model,parseSqlFunction
metric,model,processImplementTips
metric,model,replaceCRLF
misc,model,checkOneClickPackage
misc,model,getRemind
mr,model,apiAcceptMR
mr,model,apiCloseMR
mr,model,apiCreateMRTodo
mr,model,apiDeleteMR
mr,model,apiGetDiffVersions
mr,model,apiGetSingleDiffVersion
mr,model,apiGetSingleMR
mr,model,apiReopenMR
mr,model,approve
mr,model,close
mr,model,convertApiError
mr,model,getDiffs
mr,model,getGiteaProjects
mr,model,getGogsProjects
mr,model,getPairs
mr,model,reopen
mr,model,update
my,model,getAssignedByMe
my,model,getDoingProjects
my,model,getFlowPairs
my,model,getOverview
personnel,model,getInvolvedExecutions
personnel,model,getInvolvedProjects
personnel,model,isClickable
pipeline,model,create
pipeline,model,deleteByObject
pipeline,model,getByUrl
pivot,model,checkIFChartInUse
pivot,model,getConnectSQL
pivot,model,getFieldsOptions
pivot,model,getProjectExecutions
pivot,model,getRowSpanConfig
pivot,model,initSql
pivot,model,isFiltersAllEmpty
pivot,model,processPivot
pivot,model,processRowSpan
pivot,model,pureCrystalData
pivot,model,replaceTableNames
pivot,model,setFilterDefault
programplan,model,checkLeafStage
programplan,model,getPairs
programplan,model,getSelfAndChildrenList
programplan,model,getSiblings
programplan,model,getStageAttribute
programplan,model,isClickable
programplan,model,isCreateTask
programplan,model,isTopStage
programplan,model,setTreePath
programplan,model,updateSubStageAttr
qa,model,setMenu
release,model,changeStatus
release,model,delete
release,model,getBugList
release,model,getToAndCcList
report,model,getAllTimeStatusStat
report,model,getStatusOverview
report,model,getUserTestTasks
repo,model,addLink
repo,model,buildURL
repo,model,checkDeletedBranches
repo,model,checkGiteaConnection
repo,model,checkName
repo,model,createActionChanges
repo,model,createGitlabRepo
repo,model,createLink
repo,model,createRepo
repo,model,filterProject
repo,model,fixCommit
repo,model,getBranches
repo,model,getByID
repo,model,getByIdList
repo,model,getCacheFile
repo,model,getCommits
repo,model,getCommitsByObject
repo,model,getCommitsByRevisions
repo,model,getExecutionPairs
repo,model,getGiteaGroups
repo,model,getGitlabGroups
repo,model,getGitlabProjects
repo,model,getGitRevisionName
repo,model,getHistory
repo,model,getImportedProjects
repo,model,getLatestCommit
repo,model,getListByCondition
repo,model,getListBySCM
repo,model,getProductsByRepo
repo,model,getRelationByCommit
repo,model,getRepoByUrl
repo,model,getRepoListByUrl
repo,model,getTaskProductsAndExecutions
repo,model,iconvComment
repo,model,isClickable
repo,model,link
repo,model,markSynced
repo,model,processGitService
repo,model,rmClientVersionFile
repo,model,saveCommit
repo,model,saveEffortForCommit
repo,model,saveExistCommits4Branch
repo,model,saveRecord
repo,model,saveState
repo,model,setBugStatusByCommit
repo,model,setHideMenu
repo,model,unlink
repo,model,updateCommit
repo,model,updateCommitCount
repo,model,updateCommitDate
screen,model,buildComponent
screen,model,buildLineChart
screen,model,getBurnData
screen,model,getLatestChart
screen,model,processXLabel
search,model,buildIndexQuery
search,model,deleteQuery
search,model,saveDict
search,model,saveIndex
search,model,setQuery
serverroom,model,create
serverroom,model,getPairs
setting,model,computeSN
setting,model,getSysAndPersonalConfig
setting,model,getURSR
setting,model,getVersion
setting,model,setSN
sonarqube,model,apiCreateProject
sonarqube,model,apiDeleteProject
sonarqube,model,apiErrorHandling
sonarqube,model,apiGetIssues
sonarqube,model,apiGetProjects
sonarqube,model,apiGetQualitygate
sonarqube,model,apiGetReport
sonarqube,model,apiValidate
sonarqube,model,convertApiError
sonarqube,model,createProject
sonarqube,model,getApiBase
sonarqube,model,getCacheFile
sonarqube,model,getLinkedProducts
sonarqube,model,getProjectPairs
sso,model,bind
sso,model,checkKey
sso,model,createUser
sso,model,getBindUser
sso,model,getBindUsers
stage,model,getTotalPercent
stakeholder,model,deleteExpect
stakeholder,model,getActivities
stakeholder,model,getProcess
stakeholder,model,isClickable
store,model,getAppMapByNames
store,model,getCategories
story,model,addGradeLabel
story,model,batchGetStoryStage
story,model,checkNeedConfirm
story,model,createTwins
story,model,extractAccountsFromList
story,model,extractAccountsFromSingle
story,model,get2BeClosed
story,model,getByList
story,model,getBySQL
story,model,getDataOfStoriesPerAssignedTo
story,model,getDataOfStoriesPerChange
story,model,getDataOfStoriesPerEstimate
story,model,getDataOfStoriesPerModule
story,model,getDataOfStoriesPerOpenedBy
story,model,getDataOfStoriesPerProduct
story,model,getDefaultShowGrades
story,model,getEstimateInfo
story,model,getEstimateRounds
story,model,getIdListWithTask
story,model,getLastReviewer
story,model,getParentStoryPairs
story,model,getPlanStories
story,model,getRequirements
story,model,getReviewerPairs
story,model,getStoriesCountByProductID
story,model,getStoriesReviewer
story,model,submitReview
svn,model,cat
svn,model,convertLog
svn,model,diff
svn,model,getRepoLogs
svn,model,getRepos
svn,model,getRepoTags
svn,model,printLog
svn,model,run
svn,model,setClient
svn,model,setRepo
svn,model,setRepoRoot
svn,model,setRepos
svn,model,updateCommit
system,model,getDomainSettings
tutorial,model,getModulePairs
tutorial,model,getProductPairs
user,model,isLogon
user,model,su
user,model,unbind
webhook,model,bind
webhook,model,buildData
webhook,model,getBindAccount
webhook,model,getList
webhook,model,getLogList
webhook,model,getOpenIdList
webhook,model,getViewLink
webhook,model,getWeixinData
webhook,model,saveLog
zahost,model,checkAddress
zahost,model,getByID
zahost,model,getImageList
zahost,model,getNodeGroupHost
zahost,model,getPairs
zahost,model,ping
zanode,model,create
zanode,model,createDefaultSnapshot
zanode,model,createSnapshot
zanode,model,editSnapshot
zanode,model,updateImageStatus
action,tao,getReleaseRelated
action,tao,getReviewRelated
common,tao,queryListForPreAndNext
compile,tao,updateJobLastSyncDate
convert,tao,importJiraBuild
convert,tao,importJiraChangeItem
convert,tao,importJiraProject
convert,tao,importJiraUser
convert,tao,processjiraissucontent
convert,tao,processJiraIssueContent
execution,tao,formatTasksForTree
execution,tao,getTaskGroups
execution,tao,processStoryNode
execution,tao,processTaskNode
execution,tao,setKanbanMenu
file,tao,saveFile
mail,tao,replaceImageURL
metric,tao,fetchMetricsByCollect
mr,tao,getLinkedObjectPairs
pivot,tao,getAllPivotByGroupID
pivot,tao,getFirstGroup
pivot,tao,getPivotID
programplan,tao,buildPointDataForGantt
programplan,tao,getNewParentAndAction
programplan,tao,getParentStages
programplan,tao,getReviewDeadline
programplan,tao,getStageCount
programplan,tao,getStageList
repo,tao,getLastRevision
repo,tao,getLatestCommitTime
repo,tao,getMatchedReposByUrl
repo,tao,parseBugComment
repo,tao,parseTaskComment
repo,tao,processSearchQuery
search,tao,initSession
search,tao,processDataList
search,tao,processResults
testcase,tao,insertSteps
todo,tao,fetchRows
todo,tao,getCycleList
todo,tao,getCycleTodoDate
todo,tao,getListBy
todo,tao,getProjectList
todo,tao,getTodoCountByAccount
todo,tao,setTodoNameByType
todo,tao,updateDate
todo,tao,updateRow
transfer,tao,getFileGroups
zahost,tao,insertImageList
block,zen,printBugStatisticBlock
block,zen,printProductDocBlock
block,zen,printProjectDocBlock
metric,zen,getViewTableWidth
pivot,zen,processProductsForProductSummary
repo,zen,checkConnection
