模块,类,函数名
cne,model,certInfo
cne,model,cneServerError
cne,model,deleteBackup
cne,model,getAppConfig
cne,model,getAppVolumes
cne,model,getBackupList
cne,model,getBackupStatus
cne,model,getComponents
cne,model,getDefaultAccount
cne,model,getDiskSettings
cne,model,getDomain
cne,model,getEvents
cne,model,getPods
cne,model,getRestoreStatus
cne,model,getSettingsMapping
cne,model,getVolumesMetrics
cne,model,installApp
cne,model,instancesMetrics
cne,model,queryStatus
cne,model,restore
cne,model,startApp
cne,model,stopApp
cne,model,translateError
cne,model,updateConfig
cne,model,uploadCert
cne,model,validateCert
common,model,apiError
common,model,apiPost
common,model,buildActionItem
common,model,buildMoreButton
common,model,buildOperateMenu
common,model,canOperateEffort
common,model,checkEntry
common,model,checkEntryToken
common,model,checkIP
common,model,checkSafeFile
common,model,checkUpgradeStatus
common,model,formConfig
common,model,getMainNavList
common,model,getSysURL
common,model,getUserPriv
common,model,http
common,model,initAuthorize
common,model,printBack
common,model,printCommentIcon
common,model,printDuration
common,model,printLink
common,model,printMessageBar
common,model,printOrderLink
common,model,printPreAndNext
common,model,processMarkdown
common,model,sendHeader
convert,model,getJiraCustomField
convert,model,getVersionGroup
convert,model,getZentaoFields
convert,model,getZentaoObjectList
convert,model,getZentaoRelationList
cron,model,runnable
custom,model,setConcept
dimension,model,__construct
dimension,model,getList
dimension,model,saveState
doc,model,getDocBlockContent
doc,model,getDocIdByTitle
doc,model,getDocTemplateSpaces
doc,model,getScopeTemplates
epic,model,getToAndCcList
extension,model,__construct
file,model,getByGid
gitea,model,apiGetMergeRequests
host,model,processtreeMap
instance,model,installationSettingsMap
instance,model,stop
mail,model,__construct
mail,model,addQueue
mail,model,autoDetect
mail,model,clear
mail,model,getConfigByDetectingSMTP
mail,model,getConfigByMXRR
mail,model,getConfigFromProvider
mail,model,getQueue
mail,model,getQueueById
mail,model,getSubject
mail,model,mailExist
mail,model,mergeMails
mail,model,send
mail,model,sendmail
mail,model,setBody
mail,model,setErrorLang
mail,model,setImages
mail,model,setMTA
mail,model,setSubject
metric,model,checkHasInferenceOfDate
metric,model,execSqlMeasurement
metric,model,getDateByDateType
metric,model,getEchartsOptions
metric,model,getLogFile
metric,model,getTimeTable
metric,model,isCalcByCron
metric,model,processOldMetrics
metric,model,updateMetricFields
mr,model,apiCreate
pivot,model,__construct
pivot,model,addDrillFields
pivot,model,addRowSummary
pivot,model,checkAccess
pivot,model,checkIFChartInUse
pivot,model,filterSpecialChars
pivot,model,genSheet
pivot,model,getByID
pivot,model,getCellData
pivot,model,getDrillDatas
pivot,model,getMaxVersion
pivot,model,getMaxVersionByIDList
pivot,model,getPivotVersions
pivot,model,getRowSpanConfig
pivot,model,isFiltersAllEmpty
pivot,model,isVersionChange
pivot,model,mapRecordValueWithFieldOptions
pivot,model,processFieldSettings
pivot,model,processKanbanDatas
pivot,model,processPivot
pivot,model,pureCrystalData
pivot,model,switchNewVersion
product,model,buildSearchConfig
programplan,model,getByList
program,model,checkPriv
program,model,getChildrenPairsByID
program,model,getProductPairsByID
program,model,getSwitcher
program,model,setMenu
program,model,suspend
project,model,checkDates
project,model,getExecutionProductGroup
project,model,getInvolvedListByCurrentUser
project,model,updateTeamMembers
release,model,deleteRelated
release,model,sendmail
release,model,sendMail2Feedback
report,model,getContributionCountTips
report,model,getUserYearContributionCount
screen,model,__construct
screen,model,buildBarChart
screen,model,buildCardChart
screen,model,buildChart
screen,model,buildComponent
screen,model,buildComponentList
screen,model,buildLineChart
screen,model,buildPieChart
screen,model,buildPieCircleChart
screen,model,buildRadarChart
screen,model,buildWaterPolo
screen,model,checkAccess
screen,model,genChartData
screen,model,genComponentData
screen,model,genNotFoundOrDraftComponentOption
screen,model,getActiveProductCard
screen,model,getBarChartOption
screen,model,getByID
screen,model,getChartOption
screen,model,getLatestChart
screen,model,getLineChartOption
screen,model,getList
screen,model,getMetricChartOption
screen,model,getPieChartOption
screen,model,getProjectTaskTable
screen,model,getTableChartOption
screen,model,getThumbnail
screen,model,preparePaginationBeforeFetchRecords
screen,model,prepareTextDataset
screen,model,setFilterSQL
sonarqube,model,getProjectPairs
story,model,batchChangeParent
story,model,getDataOfStoriesPerAssignedTo
story,model,getDefaultShowGrades
story,model,getTracksByStories
system,model,deleteBackup
task,model,updateParent
testcase,model,processDatas
testcase,model,saveXmindImport
testtask,model,importUnitResult
todo,model,dateRange
transfer,model,initWorkflowFieldList
tutorial,model,getColumn
user,model,checkBeforeCreateOrEdit
user,model,getManageListGroupByType
user,model,getProjects
user,model,mergeAclsToUserView
webhook,model,fetchHook
weekly,model,addBuiltinWeeklyTemplate
weekly,model,getLeft
weekly,model,getPageNav
zahost,model,cancelDownload
zanode,model,createImage
zanode,model,deleteSnapshot
zanode,model,restoreSnapshot
zanode,model,runZTFScript
action,tao,getNeedRelatedFields
action,tao,processCreateChildrenActionExtra
action,tao,processCreateRequirementsActionExtra
action,tao,processLinkStoryAndBugActionExtra
action,tao,processMaxDocObjectLink
action,tao,processToStoryActionExtra
bi,tao,fetchActionDate
bi,tao,fetchAllTables
convert,tao,createDefaultExecution
convert,tao,createDefaultLayout
convert,tao,createProduct
convert,tao,createProject
convert,tao,createStory
convert,tao,createTicket
convert,tao,createTmpRelation
convert,tao,createWorkflow
convert,tao,createWorkflowAction
convert,tao,createWorkflowField
convert,tao,createWorkflowStatus
convert,tao,importJiraIssue
convert,tao,processJiraContent
convert,tao,processJiraIssueContent
convert,tao,processWorkflowHooks
execution,tao,buildBatchUpdateExecutions
kanban,tao,getBranchesForPlanKanban
kanban,tao,getRiskCardMenu
kanban,tao,getStoryCardMenu
kanban,tao,getstrorycardmenu
kanban,tao,refreshBugCards
kanban,tao,refreshERURCards
kanban,tao,refreshStoryCards
kanban,tao,updateCardAssignedTo
mail,tao,getAddressees
mail,tao,getImagesByFileID
mail,tao,getImagesByPath
mail,tao,getMailContent
mail,tao,getObjectTitle
metric,tao,getObjectsWithPager
my,tao,fetchTasksBySearch
pivot,tao,fetchPivot
pivot,tao,getAllPivotByGroupID
pivot,tao,getBugGroup
pivot,tao,getNoAssignExecution
pivot,tao,getPivotID
pivot,tao,getPlanStatusStatistics
product,tao,getCaseCountByProductIdList
project,tao,buildLinkForBug
project,tao,buildLinkForProject
project,tao,buildLinkForStory
project,tao,createProduct
project,tao,updateMemberView
search,tao,checkDocPriv
search,tao,checkFeedbackAndTicketPriv
search,tao,checkObjectPriv
search,tao,processDataList
search,tao,processDocRecord
search,tao,processRiskRecord
search,tao,processStoryRecord
story,tao,doSaveUploadImage
story,tao,getProductReviewers
task,tao,concatTeamInfo
task,tao,createChangesForTeam
task,tao,formatDatetime
